72.41124137999999,0.01
72.4363428,0.02
72.4539386,0.03
72.46731788,0.04
72.478898,0.05
72.48899388000001,0.06
72.49808566,0.07
72.507022,0.08
72.5153422,0.09
72.522391,0.1
72.5299868,0.11
72.53687976,0.12
72.54353034,0.13
72.54987296,0.14
72.5560713,0.15
72.56184408,0.16
72.567534,0.17
72.57325356,0.18
72.57866522,0.19
72.584548,0.2
72.59012682,0.21
72.5954916,0.22
72.60061636,0.23
72.6058382,0.24
72.6110425,0.25
72.61606688,0.26
72.6215406,0.27
72.62679564,0.28
72.63175522,0.29
72.637136,0.3
72.64223578,0.31
72.64745515999999,0.32
72.65243032000001,0.33
72.65768328,0.34
72.6629126,0.35
72.66812044,0.36
72.67352366,0.37
72.67901444,0.38
72.6844232,0.39
72.690094,0.4
72.695725,0.41
72.70150696,0.42
72.70737446,0.43
72.7135362,0.44
72.71941,0.45
72.7252858,0.46
72.7315716,0.47
72.7380956,0.48
72.7453252,0.49
72.752542,0.5
72.759705,0.51
72.76720204,0.52
72.77471612,0.53
72.78302568,0.54
72.7915439,0.55
72.80042256,0.56
72.80969966,0.57
72.81920740000001,0.58
72.82887484,0.59
72.840045,0.6
72.85176144,0.61
72.86575016,0.62
72.879811,0.63
72.8954374,0.64
72.9131366,0.65
72.9338846,0.66
72.95781566,0.67
72.98850568,0.68
73.02398498000001,0.69
73.0692916,0.7
73.1353862,0.71
73.2464952,0.72
88.4576484,0.73
88.5203404,0.74
88.5512965,0.75
88.57570288000001,0.76
88.59520825999999,0.77
88.61233956,0.78
88.62749922,0.79
88.6415954,0.8
88.6539058,0.81
88.66600244,0.82
88.67738786,0.83
88.68801956,0.84
88.69925429999999,0.85
88.70964336,0.86
88.72050365999999,0.87
88.73126216,0.88
88.7413102,0.89
88.751726,0.9
88.7638282,0.91
88.77664648,0.92
88.78967914,0.93
88.80445848000001,0.94
88.82168309999999,0.95
88.84158108,0.96
88.86683380000001,0.97
88.90070616,0.98
88.9600036,0.99
